"objectClass","attributeID","name","whenCreated","whenChanged","event"
"attributeSchema","1.2.840.113556.1.4.159","Account-Expires","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.1307","Account-Name-History","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.760","ACS-Aggregate-Token-Rate-Per-User","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.766","ACS-Allocable-RSVP-Bandwidth","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.779","ACS-Cache-Timeout","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.757","ACS-Direction","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.778","ACS-DSBM-DeadTime","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.776","ACS-DSBM-Priority","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.777","ACS-DSBM-Refresh","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.770","ACS-Enable-ACS-Service","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.899","ACS-Enable-RSVP-Accounting","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.768","ACS-Enable-RSVP-Message-Logging","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.769","ACS-Event-Log-Level","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.784","ACS-Identity-Name","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.897","ACS-Max-Aggregate-Peak-Rate-Per-User","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.761","ACS-Max-Duration-Per-Flow","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.1314","ACS-Maximum-SDU-Size","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.901","ACS-Max-No-Of-Account-Files","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.774","ACS-Max-No-Of-Log-Files","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.767","ACS-Max-Peak-Bandwidth","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.759","ACS-Max-Peak-Bandwidth-Per-Flow","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.902","ACS-Max-Size-Of-RSVP-Account-File","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.775","ACS-Max-Size-Of-RSVP-Log-File","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.1313","ACS-Max-Token-Bucket-Per-Flow","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.758","ACS-Max-Token-Rate-Per-Flow","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.1317","ACS-Minimum-Delay-Variation","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.1316","ACS-Minimum-Latency","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.1315","ACS-Minimum-Policed-Size","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.1320","ACS-Non-Reserved-Max-SDU-Size","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.1321","ACS-Non-Reserved-Min-Policed-Size","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.1318","ACS-Non-Reserved-Peak-Rate","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.1319","ACS-Non-Reserved-Token-Size","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.780","ACS-Non-Reserved-Tx-Limit","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.898","ACS-Non-Reserved-Tx-Size","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.765","ACS-Permission-Bits","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.772","ACS-Policy-Name","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.764","ACS-Priority","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.900","ACS-RSVP-Account-Files-Location","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.773","ACS-RSVP-Log-Files-Location","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.1312","ACS-Server-List","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
"attributeSchema","1.2.840.113556.1.4.762","ACS-Service-Type","2009-02-11 18:37:08","2014-02-18 10:02:45","2009-02-11"
