EmployeeID,Comment,WhenChecked
90000055,"Manager doesn't have AD account",2016-12-27
26200194,"Has no manager in IDM",2016-12-27
05005245,"Has no manager in IDM",2016-12-27
05011901,"Has no manager in IDM",2016-12-27
01133506,"Has no manager in IDM",2016-12-27
10004157,"Has no manager in IDM",2016-12-27
09200804,"Has no manager in IDM",2016-12-27
21200865,"Has no manager in IDM",2016-12-27
05012568,"Has no manager in IDM",2016-12-27
06000309,"Has no manager in IDM",2016-12-27
90000077,"Manager doesn't have AD account",2016-12-27
