action,name,port,protocol,alias,comment
REMOVE,sapmsAPP,3600,tcp,,SAP GUI 7.1
REMOVE,sapmsBWK,3633,tcp,,SAP GUI 7.1
REMOVE,sapmsBWP,3612,tcp,,SAP GUI 7.1
REMOVE,sapmsBWQ,3611,tcp,,SAP GUI 7.1
REMOVE,sapmsCMK,3601,tcp,,SAP GUI 7.1
REMOVE,sapmsCMM,3696,tcp,,SAP GUI 7.1
REMOVE,sapmsCMP,3688,tcp,,SAP GUI 7.1
REMOVE,sapmsCMQ,3603,tcp,,SAP GUI 7.1
REMOVE,sapmsCMZ,3686,tcp,,SAP GUI 7.1
REMOVE,sapmsDB1,3623,tcp,,SAP GUI 7.1
REMOVE,sapmsDB3,3623,tcp,,SAP GUI 7.1
REMOVE,sapmsDC1,3643,tcp,,SAP GUI 7.1
REMOVE,sapmsDC3,3643,tcp,,SAP GUI 7.1
REMOVE,sapmsDR1,3603,tcp,,SAP GUI 7.1
REMOVE,sapmsDR3,3603,tcp,,SAP GUI 7.1
REMOVE,sapmsEAC,3606,tcp,,SAP GUI 7.1
REMOVE,sapmsECP,3603,tcp,,SAP GUI 7.1
REMOVE,sapmsERK,3653,tcp,,SAP GUI 7.1
REMOVE,sapmsERM,3675,tcp,,SAP GUI 7.1
REMOVE,sapmsERQ,3673,tcp,,SAP GUI 7.1
REMOVE,sapmsEVE,3600,tcp,,SAP GUI 7.1
REMOVE,sapmsEVP,3600,tcp,,SAP GUI 7.1
REMOVE,sapmsNVP,3640,tcp,,SAP GUI 7.1
REMOVE,sapmsO01,3601,tcp,,SAP GUI 7.1
REMOVE,sapmsO02,3699,tcp,,SAP GUI 7.1
REMOVE,sapmsPB1,3623,tcp,,SAP GUI 7.1
REMOVE,sapmsPC1,3643,tcp,,SAP GUI 7.1
REMOVE,sapmsPR1,3603,tcp,,SAP GUI 7.1
REMOVE,sapmsPRO,3660,tcp,,SAP GUI 7.1
REMOVE,sapmsPS1,3663,tcp,,SAP GUI 7.1
REMOVE,sapmsQAS,3664,tcp,,SAP GUI 7.1
REMOVE,sapmsQB1,3636,tcp,,SAP GUI 7.1
REMOVE,sapmsQB3,3623,tcp,,SAP GUI 7.1
REMOVE,sapmsQC1,3643,tcp,,SAP GUI 7.1
REMOVE,sapmsQC3,3643,tcp,,SAP GUI 7.1
REMOVE,sapmsQR1,3612,tcp,,SAP GUI 7.1
REMOVE,sapmsQR3,3603,tcp,,SAP GUI 7.1
REMOVE,sapmsR3P,3622,tcp,,SAP GUI 7.1
REMOVE,sapmsR3Z,3602,tcp,,SAP GUI 7.1
REMOVE,sapmsSC1,3610,tcp,,SAP GUI 7.1
REMOVE,sapmsSC2,3638,tcp,,SAP GUI 7.1
REMOVE,sapmsSCK,3619,tcp,,SAP GUI 7.1
REMOVE,sapmsSCQ,3675,tcp,,SAP GUI 7.1
REMOVE,sapmsSVP,3650,tcp,,SAP GUI 7.1
REMOVE,sapmsTB1,3623,tcp,,SAP GUI 7.1
REMOVE,sapmsTC1,3643,tcp,,SAP GUI 7.1
REMOVE,sapmsTR1,3603,tcp,,SAP GUI 7.1
REMOVE,sapmsWVP,3610,tcp,,SAP GUI 7.1
REMOVE,sapmsXVP,3660,tcp,,SAP GUI 7.1
ADD,sapmsERK,3653,tcp,,SAP GUI 7.3
ADD,sapmsR3P,3622,tcp,,SAP GUI 7.3
ADD,sapmsAPP,3600,tcp,,SAP GUI 7.3
ADD,sapmsBWP,3612,tcp,,SAP GUI 7.3
ADD,sapmsCMP,3688,tcp,,SAP GUI 7.3
ADD,sapmsGCP,3677,tcp,,SAP GUI 7.3
ADD,sapmsXWP,3663,tcp,,SAP GUI 7.3
ADD,sapmsERT,3620,tcp,,SAP GUI 7.3
ADD,sapmsXWT,3666,tcp,,SAP GUI 7.3
ADD,sapmsGCD,3648,tcp,,SAP GUI 7.3
ADD,sapmsXWK,3665,tcp,,SAP GUI 7.3
ADD,sapmsERA,3676,tcp,,SAP GUI 7.3
ADD,sapmsBRP,3693,tcp,,SAP GUI 7.3
ADD,sapmsBRQ,3692,tcp,,SAP GUI 7.3
ADD,sapmsBRD,3691,tcp,,SAP GUI 7.3
ADD,sapmsERD,3649,tcp,,SAP GUI 7.3
ADD,sapmsBWD,3655,tcp,,SAP GUI 7.3
ADD,sapmsSCD,3659,tcp,,SAP GUI 7.3
ADD,sapmsERQ,3673,tcp,,SAP GUI 7.3
ADD,sapmsBWQ,3611,tcp,,SAP GUI 7.3
ADD,sapmsSCQ,3675,tcp,,SAP GUI 7.3
ADD,sapmsSSP,3626,tcp,,SAP GUI 7.3
ADD,sapmsPIP,3641,tcp,,SAP GUI 7.3
ADD,sapmsSST,3624,tcp,,SAP GUI 7.3
ADD,sapmsCMA,3663,tcp,,SAP GUI 7.3
ADD,sapmsCMD,3661,tcp,,SAP GUI 7.3
ADD,sapmsPID,3653,tcp,,SAP GUI 7.3
ADD,sapmsCMQ,3603,tcp,,SAP GUI 7.3
ADD,sapmsPIQ,3606,tcp,,SAP GUI 7.3
